RegistroDescricao,Reclamado,,,,,,,
Portabilidade realizada na linha incorreta,"Descrição do problema: Consumidor (a) informa que solicitou portabilidade da Tim para Claro, porém ao passar do prazo de portabilidade, verificou que seu número não foi portado, mas sim está com um número provisório. Já foi dado vários prazos para resolução porém nada foi resolvido._x000D_
O que o consumidor solicita como providências: Portabilidade com urgência._x000D_
Serviço Reclamado: pós-pago_x000D_
,"Descrição do problema: Foi feito a solicitação de portabilidade mas o consumidor desistiu e não consegue contato com a operadora_x000D_
O que o consumidor solicita como providências: Deseja cancelamento da portabilidade com urgência _x000D_
Serviço Reclamado:_x000D_
Telefone associado ao problema(quando for linha telefônica):_x000D_
",,,,,,,
,"Descrição do problema:  Consumidor(a) reclama que prestadora Claro não atende sua demanda de finalização de portabilidade conforme solicitado, tendo em vista informar que prestadora vivo em questão barra acesso. _x000D_
O que o consumidor solicita como providências:  Consumidor(a) deseja que seja realizado o quanto antes possível a resolução de sua demanda. _x000D_
Serviço Reclamado: Telefone fixo_x000D_
Telefone associado ao problema:  (11) 23110985",,,,,,,
Chip não entregue,"Descrição do problema: Consumidor(a) fez um plano móvel Pós-Pago por portabilidade, saindo da Vivo indo para a Claro, mas ainda não recebeu o chip para ativar a linha, a prestadora pede para ir em loja física, mas teria que pagar pelo chip, que seria gratuito._x000D_
O que o(a) consumidor(a) solicita como providências: Que a prestadora envie o chip de forma gratuita, para o pleno funcionamento na portabilidade, com o desconto pela inoperância._x000D_
Telefone associado ao problema: 31996284677_x000D_
Protocolo da prestadora reclamada: 0432913171",,,,,,,
Problema de funcionamento após portabilidade,"Fiz a portabilidade que foi realizada em 19 de fevereiro de 2021 da operadora Tim para Claro, entretanto não consigo receber qualquer ligação que não seja da claro._x000D_
_x000D_
Já realizei todos os procedimentos solicitados, por último através do protocolo 2021178671590, obtive a informação que dentro de 48hs seria solucionado e eu receberia o retorno da área técnica. O que não aconteceu até o momento.  Sou advogada meu celular é a minha ferramenta de trabalho,  hoje  através do protocolo 2021187545965 e 2021187512786 nada foi resolvido._x000D_
_x000D_
Não recebo ligação,  digo só recebo da operadora claro e isso está me gerando um transtorno fora do comum. _x000D_
_x000D_
SOLICITO AJUDA ",,,,,,,
,"Desde nov/20 venho solicitando à Vivo a transferência da linha fixa (11) 5574-7493 que está na Claro para minha conta da Vivo. Mas eles não conseguem concluir a portabilidade, e hoje me informaram que a linha foi cancelada pela Claro. Não solicitei nenhum cancelamento. Tentei entrar em contato com a Claro e depois de passar por todas as opções do menu de atendimento, a ligação fica muda. O protocolo da Vivo é o 230220217228261._x000D_
_x000D_
Esta linha é minha há muitos anos, e quero permanecer com ela. Preciso que alguém resolva o problema. Obrigada.",,,,,,,
,"Bom dia,_x000D_
_x000D_
Realizei uma contratação do serviço pós-pago em uma das lojas físicas da Claro, informando sobre meu desejo de portar a linha da OI  para a Claro. Alguns dias após a solicitação, me ligaram confirmando a portabilidade, pedi para que esperassem alguns dias pois estava preso a multa de fidelidade da operadora cedente. _x000D_
_x000D_
Após conseguir a isenção da multa, liguei na operadora para que então seja concluída a portabilidade, entretanto, já se faz quase uma semana e não obtive respostas._x000D_
_x000D_
Número para portar;_x000D_
_x000D_
62 984962287 - OI_x000D_
62 992741910 - Claro/Mudinho_x000D_
_x000D_
Peço que, a portabilidade seja concluída o mais breve possível.",,,,,,,
,"DIA 16/2, AS 16:56H, LIGUEI PARA OPERADORA CLARO PARA SOLICITAR A PORTABILIDADE DO TELEFONE FIXO DA MINHA MAE NAIR ADORNO DOS SANTOS, CPF 50477277772, 021-33926796, PARA A OPERADORA CLARO PARA UM PLANO DE R$ 19,90._x000D_
FOI FEITA TODA SOLICITACAO NA QUAL GERARAM 2 PROTOCOLOS 021210793153685 E 021210793154956, ATENDENTE VINICIUS, NO QUAL ME INFORMOU QUE ATE 6A FEIRA, DIA 19/2, A CLARO ENTRARIA EM CONTATO PARA CONFIRMAR/OFICIALIZAR A PORTABILIDADE._x000D_
SEM RESPOSTA DA OPERADORA, RESOLVI LIGAR ONTEM, DIA 28/2, AS 16:42H, E FUI ATENDIDA PELA ATENDENTE ALEXANDRA A QUAL ME INFORMOU QUE NAO FOI FEITA A PORTABILIDADE E QUE EU TERIA QUE LIGAR PARA CENTRAL DE VENDAS DA CLARO, SEM ME DAR NENHUMA EXPLICAÇÃO PELO MOTIVO DE MINHA SOLICITACAO NAO TER SIDO ATENDIDA._x000D_
MINHA MAE JA É DA CLARO TV E QUERIAMOS PASSAR O TELEFONE DA OI PARA CLARO, DEVIDO A EXORBITANCIA QUANTIA DA CONTA DE TELEFONE E COMO DE COSTUME, INFELIZMENTE NAO TIVEMOS NENHUMA RESPOSTA DA CLARO._x000D_
POR FAVOR, GOSTARIA DE SOLICITAR A ABERTURA DE UM CHAMADO CONTRA A CLARO._x000D_
OBRIGADA E AGUARDO BREVE RETORNO._x000D_
ATENCIOSAMENTE,_x000D_
SONIA ADORNO_x000D_
021 98121-8430",,,,,,,
Chip não entregue,"Por volta do dia 23 de Janeiro recebi, por telefone, uma proposta para fazer a portabilidade da TIM para Claro.  O operador da Claro, ao finalizar a proposta me deu a noticia de que no bairro onde moro a entrega do chip era EXPRESSA. Em dois dias receberia o novo chip._x000D_
Em 28/01/2021 liguei para Claro para reclamar do chip que não tinham enviado. O atendente falou que houve um probleminha de  logistica e que receberia em 48 horas. Protocolo 202188272207 Em 5/02/2021 liguei novamente reclamando e me informaram que minha portabilidade tinha sido efetuada nesse dia as 8:00 AM. So que eu informei o atendente que a portabilidade tinha sido feita só para a Claro pois eu estava sem o chip e agora SEM TELEFONE, ao que me respondeu dizendo que iria demorar 5 dias para entregar o chip. Ou seja ficaria sem telefone por mais 5 dias. Falei que isso acarretaria prejuízos para mim ao que me disse que se eu fosse na loja poderia obter o chip mais rapidamente. Fui nesse mesmo dia quase no final do expediente e após explicar a situação e responder a todas as perguntas que a atendente me fez, e ainda me dizer que teria que pagar R$10 pelo chip, esperei por mais 15 minutos para me dizer que o sistema estava fora do ar.  Desenganei de vez e liguei para a operadora para pedir o cancelamento de minha portabilidade pois com aproximadamente 15 dias não havia sido feita. (Ao menos não para mim). Além do mais me falou que por cancelar o serviço teria que pagar uma multa de R$143,00 ao que perguntei se era por me deixarem sem telefone pois eu não tinha recebido o chip da Claro. Resultado, voltei para a loja da TIM e pedi que resgataram meu número, fazendo a re- portabilidade e até hoje a Claro retem o meu numero não permitindo que volte para TIM e me impedindo de receber ligações no meu numero original com o que já perdi varias ordens de serviço. A atendente, alegando que o sistema estava inoperante se negou a me fornecer protocolo do atendimento. Protocolos de acesso no dia 5/02/2021: 2021115198130 / 2021115249557 / 202111534458 / 2021115413973 / 2021115439579 E até hoje tém o meu número impedindo a portabilidade para TIM que ja fez diversas tentativas de pedir a portabilidade de volta. Eu preciso do meu numero original por questões de negócios. (31) 999347890. Muito obrigado_x000D_
",,,,,,,
Portabilidade parcial de linhas solicitadas,"Descrição do problema: Fez a portabilidade para a operadora vivo ( receptora) , a portabilidade ocorreu normalmente. Mas a linha está funcionando também na Nextel (operadora Claro, a doadora). A operadora alega erro no sistema, mas o problema não é resolvido. Ou seja, possui a mesma linha em duas operadora diferentes. _x000D_
O que o consumidor solicita como providências: Cancelamento da linha na claro e isenção da qualquer cobrança após a portabilidade. _x000D_
Serviço Reclamado: Celular pós-pago. _x000D_
Telefone associado ao problema: 13 996838330- 13996216923 _x000D_
",,,,,,,
,"Descrição do problema: Consumidor (a) reclama que solicitou o aumento da velocidade e a portabilidade da tim para a claro porém ocorreu algum erro e a cliente está sem serviço e no dia seguinte após solicitar a portabilidade para a claro solicitou na tim o cancelamento dessa portabilidade, mas consegue cancelar._x000D_
O que o consumidor solicita como providências: o cancelamento da portabilidade e a normalização do serviço._x000D_
Serviço Reclamado: pós pago._x000D_
Telefone associado ao problema(quando for linha telefônica): 15981529538",,,,,,,
,"Descrição do problema: consumidora informa que a linha dela foi portada para outra pessoa, pois a pessoa pediu a mudança de DDD  para 31, mas a linha 91449123 com o DDD 31 pertence a ela. Em contato com a TIM a operadora passou o número da Anatel para direcionar a reclamação para a Claro. _x000D_
 O que o consumidor solicita como providências: consumidora exige que sua linha seja devolvida para ela e para a TIM com urgência. _x000D_
Serviço Reclamado: telefonia. _x000D_
Telefone associado ao problema: 31991449123. _x000D_
Protocolo da prestadora reclamada: ciente da importância. ",,,,,,,
,"Quando solicitei a portabilidade do meu fixo da OI para Claro fui informado que a instalação não seria através de modem de internet e sim pelo cabeamento que vinha do poste, porém hoje ao ligar para central me informaram que para fazer a instalação precisa do modem, por esse motivo não tenho mais interesse na portabilidade. PS: Já estou há alguns dias sem telefone e ninguém me dá satisfação de nada. Quero o CANCELAMENTO de imediato e me retornem para OI pois estão me causando prejuízos. ",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor (a)  Reclama que solicitou a portabilidade desde o dia 16/10/2020 da tim para a claro porém não foi realizada e reclamando na prestadora o problema não foi resolvido._x000D_
O que o consumidor solicita como providências: solicita verificação e que seja concluída a portabilidade._x000D_
Serviço Reclamado: pós pago_x000D_
Telefone associado ao problema(quando for linha telefônica): 1198134 0470_x000D_
protocolo da prestadora reclamada: 2021187655500",,,,,,,
Demora na portabilidade,"Desde janeiro 21 estou tentando portar minha linha da claro para a vivo . Estou na loja da vivo nesse exato momento realizando a 4a tentativa , pois a portabilidade não é concluída . Ligo no atendimento da claro e na ouvidoria e dizem que está tudo ok, mas a portabilidade não é concluída . 
143213448168135
143213448144615
143213448142692
143213448154721
143213448136744",,,,,,,
Oferta não cumprida,"Operadora Claro entrou em contato oferecendo uma atualização no plano. Que contem; Duas linhas + internet fixa na mesma cobrança no valor total de R$ 194,97. (iria migrar a minha linha de Nextel para Claro(98634-3092) trocando pelo chip novo. Referente a linha da minha esposa (dependente), fui orientada a ir na 'Tim"" realizar a troca de titularidade para meu CPF para que fosse feito a portabilidade para a Claro, mantendo o número dela (982241595), bem como o meu._x000D_
Após esse primeiro procedimento e com a chegada dos chips, era somente ligar para ativar o plano. Protocolo de ativação: 003214758230860. Sendo que depois do prazo determinado pela empresa, a portabilidade não foi realizada. Abri um chamado na Anatel, que concluiu por não solucionado, em virtude de erro sistêmico. (Palavras deles)._x000D_
A portabilidade da minha esposa ocorreu e iniciou o uso em 25/02/21. O meu numero não migrou e me ligaram em 26/02/21, dizendo que não daria e que a oferta do combo que me ofereceram no inicio já não existia._x000D_
_x000D_
Tudo aconteceu totalmente em desacordo com o que foi me oferecido no primeiro dia e eu aceitei conforme os termos, que agora não está sempre cumprido._x000D_
_x000D_
Entramos em contato pelo protocolo 003214769628375 01/02 / Pediram para aguardar_x000D_
Protocolo 003214769969084_x000D_
_x000D_
Protocolo 003214773569847_x000D_
_x000D_
Várias ligações, inclusive entramos em contato na ouvidoria e nenhum retorno._x000D_
Apenas pedem para aguardar 5 dias já se passou quase um mês._x000D_
_x000D_
E agora o chip final 8092, foi cancelado e to sem linha. me orientaram a ir na loja. Um absurdo eu ter que sair da minha casa pra resolver um problema que não foi eu que causei._x000D_
_x000D_
Informo ]que a fatura também está separada. e no valor acima do combinado._x000D_
Obrigada",,,,,,,
Oferta não cumprida,Solicitei em 15/02 um pedido na Operadora Banda Larga Fixa + Portabilidade Celular e estou aguardando até o momento que não foi ativa. No dia 18/02 a instalação foi realizada e o chip entregue pelo instalador que me informou que em 48 horas a portabilidade estaria concluída. No dia 20 recebi uma ligação para confirmação dos dados para realizar a portabilidade e em 48 horas estaria ativa. No dia 27/02 entrei em contato novamente com a operadora e o atendente me informou que não existia nenhuma portabilidade ativa no sistema. Liguei novamente para cancelar os serviços e fui informado que será necessário pagar taxa de adesão devido ter passado 07 dias. Solicito o cancelamento de todos meus serviços  solicitados (BANDA LARGA FIXA E CELULAR) pois a operadora não cumpriu com suas responsabilidades.,,,,,,,
Demora na portabilidade,"FUI ATE UMA LOJA NO DIA 12/02/21 E SOLICITEI UMA PORTABILIDADE DA NEXTEL PARA CLARO A VENDEDORA GEROU A PORTABILIDADE COM UM NUMERO TEMPORÁRIO COM UM PRAZO DE TUDO NORMALIZAR ATE 5 DIAS UTEIS ATE HOJE MINHA PORTABILIDADE NÃO ACONTECEU E A MINHA LINHA CONTINUA NA NEXTEL ME GERANDO VALORES E A LINHA TEMPORÁRIA TAMBÉM PRECISO DO MEU NUMERO POIS O TENHO A MUITO TEMPO E USO PARA TRABALHO E QUERO SABER COMO FICARA AS FATURAS DA NEXTEL POR QUE NAO CONSEGUI O MEU NUMERO E ESTOU USANDO UM TEMPORÁRIO DA CLARO_x000D_
PROTOCOLO DE MAIS UMA TENTATIVA DA VENDEDORA DA CLARO PARA OCORRER A PORTABILIDADE 89925995",,,,,,,
,"Cancelei o pedido de portabilidade do meu número 47999713294 no dia 01/02/2021, através do protocolo 202197566830._x000D_
E hoje, recebi uma mensagem no WhatsApp com uma fatura de R$49.89, com vencimento dia 15/03/2021._x000D_
Ao entrar em contato com atendimento do próprio WhatsApp, o mesmo informa que não encontrou meu telefone em seus cadastros._x000D_
Não vou pagar essa fatura, por se tratar de cobrança indevida._x000D_
Não sou cliente da Operadora Claro.",,,,,,,
Demora na portabilidade,"Após insistência da operadora Claro, proprietária da Claro NXT (antiga Nextel), aceitei fazer a portabilidade para a Claro, através do app Claro Flex. O pedido foi feito no dia 17/02/21 através do referido app, após ativar o chip com a linha provisória (11) 98871-3629 e realizar a recarga de R$ 49,89. No dia 23/02  reclamei a operadora Claro, tendo o atendente me informado que a portabilidade levaria de 8 a 10 dias. O app que prometia mostrar a data e horário da portabilidade, desde o início acusa que a mesma está em andamento, porém não dá data e horário para a portabilidade. No site informa o prazo de 3 dias. No dia 26/02, abri mais um chamado para reclamar, e pediram prazo de mais 3 dias para realizar a portabilidade. Como meu aparelho está com problema no Slot 1, só posso usar 1 chip por vez, e estou tendo que usar a internet no chip Claro e a linha no chip Nextel. Desejo efetivar a portabilidade da linha (11) 99710-7812 para a Claro e terminar com a troca constante de chips. E o chip provisório constantemente acusa que a ativação está incompleta, sendo que na Claro me informam que o cadastro está ok.",,,,,,,
Chip não entregue,"A operadora entrou em contato me oferecendo um plano de portabilidade,que incluía um chip  provisório que seria enviado com 24horas.Chegou o prazo de encerramento da portabilidade da minha atual operadora e a Claro n cumpriu o acordo.Agora estou sem operadora e a Claro ainda está me cobrando uma fatura de um serviço que sequer foi prestado.O atendimento é péssimo,pq ficam me jogando de um atendente para outro e nada é resolvido.Tive inúmeros prejuízos,pois preciso do meu número que agora n funciona mais para trabalhar.",,,,,,,
Problema de funcionamento após portabilidade,Após a Claro me ofertar portabilidade para o combo multi das minhas duas linhas NUNCA MAIS CONSEGUI RECEBER LIGAÇÃO NA SEGUNDA LINHA (21 99669-9059). Abri a primeira reclamação na Claro em 08/02/2021 (protocolo 038214440791419) NÃO RESOLVERAM. Após terminar o prazo para solução do problema eu abri uma nova reclamação na Claro em 11/02/2021 (protocolo 038214445313482) solicitando uma solução imediata pois essa segunda linha é da minha esposa que trabalha na rua e precisa do celular para o trabalho e após a portabilidade essa linha NUNCA RECEBEU LIGAÇÃO. Nessa segunda reclamação eles pediram um prazo de 10 dias mas o prazo terminou hoje e o PROBLEMA CONTINUA. Só quero que a minha segunda linha (21 99669-9059) funcione adequadamente recebendo ligações o que NUNCA ACONTECEU após a portabilidade.,,,,,,,
,No dia 30/11/20 fui a loja da claro e solicitei a portabilidade do numero 985229391 da tim p a claro. O atendente da loja passeio das aguas Ubaldo colocou o numero errado 985229331. Voltei a loja da clarone solicitei a correcao do numero p o unico registrado no meu cpf 82010080149 que é 985229391 o atendente respondeu q havia resolvido. No dia 11/12/20 vendo que o problema nao havia sido resolvido pois recebi uma cobranca do numero errado 985229331 numero que naome pertence retornei a loja da claro do buriti shopping e o atendente atraves do protocolo 20201052497153 pediu o cancelamento/ correcao do erro do atendente do shopping passeio das aguas e imprimiu um novo contrato com o numero correto.  No entanto continuou a vir ao meu email cobranca do numero errado 985229331. Retornei novamente a loja da claro do passeio das aguas e o atendente Ubaldo fez novo protocolo 2020110824726 pedindo segundo ele o cancelamento do meu cpf do numero errado que é 985229331. No entanto de nada adiantou continuo a receber cobrancas do numero q nao é meu a saber 985229331 e ja existem cobranças desse numero desde dezembro. Exijo o cancelamento imediato dessa conta e retroativa desse numero que nunca me pertenceu 985229331 bem como todos os debitos que a operadora me cobra por erro de seu atendente. ,,,,,,,
Demora na portabilidade,"É impressionante, o quão ruim é essa operadora. _x000D_
_x000D_
Solicitei a portabilidade no último dia 22/02/2021 fui informado por meio de SMS que minha portabilidade iria ser feita dentro das próximas 72h, já se passaram mais de 7 dias corridos, e nada da portabilidade ser feita. Estou com numero provisório ainda! _x000D_
_x000D_
Quero fazer a portabilidade da Nextel para a Claro. ",,,,,,,
,"Estou num imbróglio que dura anos com a operadora. E ao comunicar que iria fazer a portabilidade. A operadora simplesmente desativou sem chip. Me deixando incomunicável e sem meu número. Sem qualquer chance de portabilidade. 

Preciso de respaldo e a operadora se recusa a falar comigo. ",,,,,,,
,"Solicitei uma portabilida, e no mesmo dia desisti. Muita ligação até conseguir falar Protocolo 202187318352 referente a Informacao em 28/01/2021 as 14:31. Claro esse protocolos e no outro dia liguei novamente  segue protocolo Protocolo 202196550261 referente a Solicitacao em 01/02/2021 as 01:23. Claro na dará de ontem dia 02/03/2021 recebi uma fatura de um número que não e meu. Pois a portabilidade não foi feita. Meu número continuou na outra operadora. Liguei mandaram do dia 01/03/2021 me deram o protocolo do cancelamento da linha q não usei claro._x000D_
2021187680566.  Insatisfeito pois estão cobrando um número novo que não e de meu uso.67 99299 1207 esse número nunca foi usado por minha pessoa e nem habilitado em meu aparelho. Então desconheço a cobrança, ficando assim ilegal, pois não foi realizado portabilidade numérica e nem  a aquisição de um novo número.",,,,,,,
,"Gostaria de registrar minha indignação com a operadora Net. Realizei a portabilidade para operadora no dia 16 de janeiro. Tinha consciência que ainda veria a cobrança proporcional aos dias que ainda o telefone era da operadora, mas para minha surpresa a operadora me tarifou normalmente e ainda no mês de março fui cobrado novamente. ",,,,,,,
,"Consumidor(a) relata que sua linha foi portada a prestadora VIVO indevidamente._x000D_
Solicita como providências: estorno da portabilidade e para sua titularidade._x000D_
Serviço reclamado: Pré-pago_x000D_
Telefone associado ao problema: 33984063791",,,,,,,
Portabilidade recusada sem detalhes,"Bom dia! Venho tentando fazer portabilidade da Oi para a Claro, mas a Claro nunca aceita fazer a portabilidade pra mim. Faço toda a solicitação por SMS, enviando o número 62985009801 para o número 1970, logo após envio meu CPF e logo após sou respondido com uma mensagem pedindo pra eu informar o código de confirmação que foi enviado para o número 62985009801, mas a Claro nunca manda esse código. Tento fazer a solicitação via telefone no 1052, mas os operadores nunca fazem a portabilidade, sempre me direcionam para atendimentos que informam que só vão fazer a portabilidade caso eu contrate algum plano com eles. Por ora, não quero contratar nenhum plano com a Claro, quero deixar minha linha no pré pago para assim depois assinar plano via app claro flex, mas nenhum operador trata a minha solicitação. Preciso que a linha seja portada para assim eu depois escolher um plano. ",,,,,,,
,"RELATO:_x000D_
_x000D_
REALIZEI O PEDIDO DE CANCELAMENTO DE PORTABILIDADE NA OPERADORA CLARO NO DIA 30/12/2020, ÀS 9:51 CONFORME PROTOCOLO 20201105997181, DEVIDO AO RECEBIMENTO DE UM CHIP ENVIADO PARA MEU ENDEREÇO, O CHIP JAMAIS FOI ATIVADO OU USADO, NEM FOI DESEMBALADO! _x000D_
_x000D_
_x000D_
_x000D_
DETALHE:_x000D_
_x000D_
INFORMO QUE REALIZEI O PEDIDO DE CANCELAMENTO DE PORTABILIDADE DEVIDO A CLARO INFORMAR QUE NÃO HAVIA NENHUM REGISTRO DE PEDIDO DE PORTABILIDADE EM MEU NOME, POREM 15 DIAS DEPOIS CHEGOU ESSE CHIP EM MEU ENDEREÇO, E EU JÁ HAVIA RESOLVIDO MINHA MIGRAÇÃO A TEMPO COM OUTRA OPERADOR ""VIVO"",  E EU NÃO QUERIA MAIS NENHUM SERVIÇO DA CLARO, EM CONTATO COM A CLARO NO DIA 30/12 EU PERGUNTEI O QUE SE TRATAVA O CHIP ENVIADO,  ME DISSERAM QUE ERA SOBRE O PEDIDO DE PORTABILIDADE, IMEDIATAMENTE PEDI O CANCELAMENTO, DIZENDO QUE JA NÃO QUERIA MAIS O SERVIÇO DELES, REGISTRANDO O PROTOCOLO 20201105997181._x000D_
_x000D_
PROBLEMA:_x000D_
_x000D_
A OPERADORA CLARO ESTÁ GERANDO COBRANÇA/FATURA EM MEU NOME, SENDO QUE MINHA PORTABILIDADE FOI CANCELADA NA DATA INFORMADA, JA EXISTE DUAS COBRANÇAS REGISTRADAS, DE UM NUMERO QUE DESCONHEÇO TOTALMENTE E QUE NUNCA ATIVEI, ME FIZERAM COMO CLIENTE CLARO MESMO EU CANCELANDO O SERVIÇO E SENDO CLIENTE DE OUTRA OPERADORA CONCORRENTE._x000D_
_x000D_
",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor reclama que ao contatar a central, não obtém o devido auxílio, pois, sua solicitação de portabilidade da Nextel para Claro não foi devidamente atendida e concluída pela operadora, onde recebe informações omissas e descumprem com os prazos de conclusão._x000D_
O que solicita como providência: Regularização do problema, e a conclusão da portabilidade sem cobranças adicionais._x000D_
Serviço Reclamado: Pós-pago_x000D_
Telefone associado ao problema: 11967469685_x000D_
Protocolo da prestadora reclamada: Ciente da importância. ",,,,,,,
Demora na portabilidade,"Em 24/02/2021 estive na loja da Claro no Barrashopping (MEX CELL) para realizar a portabilidade de dois números: (21) 99814-3709 e (21) 98385-0252._x000D_
A portabilidade ficou prevista para 01/03/2021, às 08:00._x000D_
Até o momento, a portabilidade não ocorreu, e recebi a informação que esta foi cancelada._x000D_
No entanto, não cancelei e preciso que a portabilidade ocorra, pois se tratam de telefones de trabalho.",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que foi feito uma portabilidade sem sua autorização e por divergência no cadastro não tem mais acesso a linha , lhe causando diversos transtornos , entrou em contato com a operadora para informar o problema mas nada foi resolvido e a linha está em outro CPF._x000D_
Solicita como providência o cancelamento da portabilidade , a regularização e reativação de sua linha._x000D_
Telefone reclamado:(21) 966517055_x000D_
Serviço reclamado: Celular pós-pago._x000D_
Protocolo de registro na operadora: 2021188058735- 202100034879858",,,,,,,
,"Solicitei portabilidade, saindo da operadora Claro para a operadora Tim._x000D_
A operadora Claro não só negou a portabilidade como CANCELOU as minhas linhas sem que eu tivesse pedido._x000D_
_x000D_
Linhas: (21) 2147-8537 e (21) 2147-8538",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que solicitou a portabilidade porém não foi concluída ,já foi instalada a internet e o número provisório mas ao entrar em contato informam que houve erro no sistema e já fazem 7 dias úteis_x000D_
O que solicita como providencia:conclusão da portabilidade,caso contrario irá cancelar_x000D_
Telefone reclamado:4330471619_x000D_
",,,,,,,
Demora na portabilidade,"Descrição do problema: Consumidor(a) reclama que solicitou a(s) portabilidade de suas linhas, porém a prestadora não concluiu o procedimento e não realizou a portabilidade no prazo. O problema ainda não foi resolvido._x000D_
O que o consumidor solicita como providências: Deseja a solução do problema caráter de urgência._x000D_
Serviço Reclamado: Móvel._x000D_
Telefone associado ao problema(quando for linha telefônica): 21979773944 / 21995246996_x000D_
_x000D_
Protocolo da prestadora reclamada: 088214458087437",,,,,,,
Demora na portabilidade,"Estou solicitando pela segunda vez a portabilidade do número que possuo na operadora Vivo para a Claro e nenhuma das operadoras me informa o motivo de não ter sido efetuada a portabilidade, a última solicitação que fiz foi no dia 23/02/21 protocolo 924213850566102, desejo que o número de celular da Vivo (11) 99313-9636 seja portabilizado para a operadora Claro, em substituição do número (11) 99221-3789, sem nenhuma alteração do meu pacote atual da operadora Claro, quero apenas trazer o meu número da Vivo (11)99313-9636 para Claro.

",,,,,,,
,"Descrição do problema: consumidora relata que esta tentando por varias vezes fazer a portabilidade para a prestadora CLARO ,sendo que mesmo gerando vários protocolos confirmando que vai ser feito a instalação isso não ocorre e a consumidora ainda continua sem o serviço a mesma esta tentando desde do dia 10/02/2021 fazer a portabilidade e a prestadora não cumpri com nenhum prazo e não resolve o problema da mesma e não faz instalação do serviço, protocolo informado foi do dia 17/02/2021._x000D_
O que o consumidor solicita como providências: que seja feito a instalação na residencia da mesma e que conclua a portabilidade para a claro._x000D_
Serviço Reclamado: telefone fixo_x000D_
Telefone associado ao problema(quando for linha telefônica): (21) 38076497_x000D_
Protocolo Relacionado (protocolo Anatel):_x000D_
Protocolo da prestadora reclamada:_x000D_
",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que, foi feito portabilidade da oi para claro indevidamente, e não cancelar a portabilidade na claro._x000D_
_x000D_
O que o(a) consumidor(a) solicita como providências: Cancelar a portabilidade na claro._x000D_
Serviço Reclamado:  pós-pago_x000D_
Telefone associado ao problema(quando for linha telefônica):11962745803_x000D_
_x000D_
",,,,,,,
Chip não entregue,"No dia 21/02/2021 foi solicitada uma portabilidade da TIM para a Claro (nº 078212785260546). Contudo, no dia 25/02/2021, no ato da confirmação da solicitação, foi realizada uma correção de um erro de atendimento do pedido anterior e, que, dessa vez o pedido de portabilidade do número (62) 98430-1018, atualmente na operadora TIM, para a Claro enquanto dependente do titular do contrato - (62) 98116-2050 número titular - iria ocorrer a contento. A solicitação gerou o protocolo nº 010214458149270 no qual foi prometido o envio do chip para ativação e posterior portabilidade. Contudo, desde a data supracitada, a empresa Claro tem cancelado todas as visitas técnicas para entrega do chip e, com isso, atrasando o processo de portabilidade. Tal situação gerou os protocolos nº 010214461702685 e nº 010214463314067 ambos da ouvidoria da empresa que não conseguiu atender de forma satisfatória a solicitação realizada no dia 25/02, com origem no dia 21/02. Já estamos no terceiro agendamento, o que me impede de exercer normalmente as minhas atividades já que tenho que aguardar a visita do técnico para receber as devidas orientações.",,,,,,,
,"Foi feita uma portabilidade indevida e não solicitada do número 18 981046230, essa portabilidade foi feita sem o meu consentimento.
Eu nunca pedi essa portabilidade, isso e ilegal, inclusive esse número não FUNCIONA mais, quero a tela dos pedido de solicitação efetuado por mim.
Nunca pedi, a portabilidade da CLARO para OI.
Pedi sim para o número final 7615 e 8730 que já eram da OI e migrei para INTERCEL mas essa linha de final 6230 foi feita ilegal.
Tudo sem o meu consentimento tanto dos meus dados como do meu número.
Quero CANCELAMENTO disso e retornar esse número para CLARO.
 Isso a Claro quem fez essa portabilidade indevida, pra conceder um desconto ela certamente fez a portabilidade para outra operadora e o consumidor infelizmente que resolva com a OI.",,,,,,,
Cobrança indevida,"Senhores, bom dia!_x000D_
_x000D_
Hoje ao checar meu e-mail, de deparei com uma fatura de cobrança de um serviço que nao foi entregue. É serio isso? Primeiro que nao tem nem um mes da suposta contratação, depois que sabemos que eu nao tive um minuto de paz depois de ter contratado a operadora supra. Não vou nem dizer que esta assegurado no codigo de defesa ao consumidor receber em PERFEITO estado de uso o produto/serviço contratado, como este nao é o caso, solicito o cancelamento imediato da cobrança indevida._x000D_
_x000D_
Por hora agradeço,",,,,,,,
,"Descrição do problema: Consumidor(a) reclama que quitou o débito de R$17,00 em 17/02/21, que constava na Embratel, porém ao tentar realizar portabilidade para a Claro, ela não aprova por conta deste débito já quitado._x000D_
O que o(a) consumidor(a) solicita como providências: Deseja que o pagamento seja computado na Claro, para conseguir realizar a portabilidade._x000D_
Serviço Reclamado: fixo_x000D_
Telefone associado ao problema(quando for linha telefônica): 43 33360485_x000D_
Protocolo da prestadora reclamada: 2021752547417",,,,,,,
